
Subcategorías detectadas en [Bebidas y Licores]: 222
 - Aguas | Aguas -> https://www.unimarc.cl/category/bebidas-y-licores/aguas
Scrape: [Bebidas] Destilados y licores
  productos únicos: 100

Scrape: [Bebidas] Cóctel
  productos únicos: 73

Scrape: [Bebidas] Piscos
  productos únicos: 65

Scrape: [Bebidas] Ron
  productos únicos: 19

Scrape: [Bebidas] Vodka
  productos únicos: 17

Scrape: [Bebidas] Gin
  productos únicos: 28

Scrape: [Bebidas] Whisky
  productos únicos: 49

Scrape: [Bebidas] Otros licores
  productos únicos: 41

Scrape: [Jugos] Aguas
  productos únicos: 75

Scrape: [Jugos] Agua sin gas
  productos únicos: 12

Scrape: [Jugos] Agua con gas
  productos únicos: 20

Scrape: [Jugos] Agua saborizada
  productos únicos: 41

Scrape: [Jugos] Bidones
  productos únicos: 2

Scrape: [Jugos] Bebidas
  productos únicos: 100

Scrape: [Jugos] Bebidas regulares
  productos únicos: 77

Scrape: [Jugos] Bebidas light y zero
  productos únicos: 61

Scrape: [Jugos] Energéticas
  productos únicos: 27

Scrape: [Jugos] Funcionales
  productos únicos: 45

Scrape: [Jugos] Jugos
  productos únicos: 100

Scrape: [Jugos] Jugos frescos
  productos únicos: 27

Scrape: [Jugos] Jugos y néctares
  productos únicos: 75

Scrape: [Jugos] Té líquido
  productos únicos: 12

Scrape: [Jugos] Jugos en polvo
  productos únicos: 43

Scrape: [Jugos] Jugos colación
  productos únicos: 29

Scrape: [Jugos] Cervezas
  productos únicos: 100

Scrape: [Jugos] Cerveza nacional
  productos únicos: 41

Scrape: [Jugos] Cerveza importada
  productos únicos: 45

Scrape: [Jugos] Cerveza artesanal
  productos únicos: 64

Scrape: [Jugos] Cerveza sin alcohol
  productos únicos: 16

Scrape: [Jugos] Vinos y espumantes
  productos únicos: 100

Scrape: [Jugos] Vino tinto
  productos únicos: 100

Scrape: [Jugos] Vino blanco
  productos únicos: 72

Scrape: [Jugos] Vino caja
  productos únicos: 28

Scrape: [Jugos] Espumantes
  productos únicos: 65

Scrape: [Jugos] Vinos botellón y otros
  productos únicos: 47

Scrape: [Jugos] Vino Late harvest
  productos únicos: 11

Scrape: [Jugos] Vino rosé
  productos únicos: 8

Scrape: [Jugos] Destilados y licores
  productos únicos: 100

Scrape: [Jugos] Cóctel
  productos únicos: 73

Scrape: [Jugos] Piscos
  productos únicos: 65

Scrape: [Jugos] Ron
  productos únicos: 19

Scrape: [Jugos] Vodka
  productos únicos: 17

Scrape: [Jugos] Gin
  productos únicos: 28

Scrape: [Jugos] Whisky
  productos únicos: 49

Scrape: [Jugos] Otros licores
  productos únicos: 41

Scrape: [Cervezas] Aguas
  productos únicos: 75

Scrape: [Cervezas] Agua sin gas
  productos únicos: 12

Scrape: [Cervezas] Agua con gas
  productos únicos: 20

Scrape: [Cervezas] Agua saborizada
  productos únicos: 41

Scrape: [Cervezas] Bidones
  productos únicos: 2

Scrape: [Cervezas] Bebidas
  productos únicos: 100

Scrape: [Cervezas] Bebidas regulares
  productos únicos: 77

Scrape: [Cervezas] Bebidas light y zero
  productos únicos: 61

Scrape: [Cervezas] Energéticas
  productos únicos: 27

Scrape: [Cervezas] Funcionales
  productos únicos: 45

Scrape: [Cervezas] Jugos
  productos únicos: 100

Scrape: [Cervezas] Jugos frescos
  productos únicos: 27

Scrape: [Cervezas] Jugos y néctares
  productos únicos: 75

Scrape: [Cervezas] Té líquido
  productos únicos: 12

Scrape: [Cervezas] Jugos en polvo
  productos únicos: 43

Scrape: [Cervezas] Jugos colación
  productos únicos: 29

Scrape: [Cervezas] Cervezas
  productos únicos: 100

Scrape: [Cervezas] Cerveza nacional
  productos únicos: 41

Scrape: [Cervezas] Cerveza importada
  productos únicos: 45

Scrape: [Cervezas] Cerveza artesanal
  productos únicos: 64

Scrape: [Cervezas] Cerveza sin alcohol
  productos únicos: 16

Scrape: [Cervezas] Vinos y espumantes
  productos únicos: 100

Scrape: [Cervezas] Vino tinto
  productos únicos: 100

Scrape: [Cervezas] Vino blanco
  productos únicos: 72

Scrape: [Cervezas] Vino caja
  productos únicos: 28

Scrape: [Cervezas] Espumantes
  productos únicos: 65

Scrape: [Cervezas] Vinos botellón y otros
  productos únicos: 47

Scrape: [Cervezas] Vino Late harvest
  productos únicos: 11

Scrape: [Cervezas] Vino rosé
  productos únicos: 8

Scrape: [Cervezas] Destilados y licores
  productos únicos: 100

Scrape: [Cervezas] Cóctel
  productos únicos: 73

Scrape: [Cervezas] Piscos
  productos únicos: 65

Scrape: [Cervezas] Ron
  productos únicos: 19

Scrape: [Cervezas] Vodka
  productos únicos: 17

Scrape: [Cervezas] Gin
  productos únicos: 28

Scrape: [Cervezas] Whisky
  productos únicos: 49

Scrape: [Cervezas] Otros licores
  productos únicos: 41

Scrape: [Vinos y espumantes] Aguas
  productos únicos: 75

Scrape: [Vinos y espumantes] Agua sin gas
  productos únicos: 12

Scrape: [Vinos y espumantes] Agua con gas
  productos únicos: 20

Scrape: [Vinos y espumantes] Agua saborizada
  productos únicos: 41

Scrape: [Vinos y espumantes] Bidones
  productos únicos: 2

Scrape: [Vinos y espumantes] Bebidas
  productos únicos: 100

Scrape: [Vinos y espumantes] Bebidas regulares
  productos únicos: 77

Scrape: [Vinos y espumantes] Bebidas light y zero
  productos únicos: 61

Scrape: [Vinos y espumantes] Energéticas
  productos únicos: 27

Scrape: [Vinos y espumantes] Funcionales
  productos únicos: 45

Scrape: [Vinos y espumantes] Jugos
  productos únicos: 100

Scrape: [Vinos y espumantes] Jugos frescos
  productos únicos: 27

Scrape: [Vinos y espumantes] Jugos y néctares
  productos únicos: 75

Scrape: [Vinos y espumantes] Té líquido
  productos únicos: 12

Scrape: [Vinos y espumantes] Jugos en polvo
  productos únicos: 43

Scrape: [Vinos y espumantes] Jugos colación
  productos únicos: 29

Scrape: [Vinos y espumantes] Cervezas
  productos únicos: 100

Scrape: [Vinos y espumantes] Cerveza nacional
  productos únicos: 41

Scrape: [Vinos y espumantes] Cerveza importada
  productos únicos: 45

Scrape: [Vinos y espumantes] Cerveza artesanal
  productos únicos: 64

Scrape: [Vinos y espumantes] Cerveza sin alcohol
  productos únicos: 16

Scrape: [Vinos y espumantes] Vinos y espumantes
  productos únicos: 100

Scrape: [Vinos y espumantes] Vino tinto
  productos únicos: 100

Scrape: [Vinos y espumantes] Vino blanco
  productos únicos: 72

Scrape: [Vinos y espumantes] Vino caja
  productos únicos: 28

Scrape: [Vinos y espumantes] Espumantes
  productos únicos: 65

Scrape: [Vinos y espumantes] Vinos botellón y otros
  productos únicos: 47

Scrape: [Vinos y espumantes] Vino Late harvest
  productos únicos: 11

Scrape: [Vinos y espumantes] Vino rosé
  productos únicos: 8

Scrape: [Vinos y espumantes] Destilados y licores
  productos únicos: 100

Scrape: [Vinos y espumantes] Cóctel
  productos únicos: 73

Scrape: [Vinos y espumantes] Piscos
  productos únicos: 65

Scrape: [Vinos y espumantes] Ron
  productos únicos: 19

Scrape: [Vinos y espumantes] Vodka
  productos únicos: 17

Scrape: [Vinos y espumantes] Gin
  productos únicos: 28

Scrape: [Vinos y espumantes] Whisky
  productos únicos: 49

Scrape: [Vinos y espumantes] Otros licores
  productos únicos: 41

Scrape: [Destilados y licores] Aguas
  productos únicos: 75

Scrape: [Destilados y licores] Agua sin gas
  productos únicos: 12

Scrape: [Destilados y licores] Agua con gas
  productos únicos: 20

Scrape: [Destilados y licores] Agua saborizada
  productos únicos: 41

Scrape: [Destilados y licores] Bidones
  productos únicos: 2

Scrape: [Destilados y licores] Bebidas
  productos únicos: 100

Scrape: [Destilados y licores] Bebidas regulares
  productos únicos: 77

Scrape: [Destilados y licores] Bebidas light y zero
  productos únicos: 61

Scrape: [Destilados y licores] Energéticas
  productos únicos: 27

Scrape: [Destilados y licores] Funcionales
  productos únicos: 45

Scrape: [Destilados y licores] Jugos
  productos únicos: 100

Scrape: [Destilados y licores] Jugos frescos
  productos únicos: 27

Scrape: [Destilados y licores] Jugos y néctares
  productos únicos: 75

Scrape: [Destilados y licores] Té líquido
  productos únicos: 12

Scrape: [Destilados y licores] Jugos en polvo
  productos únicos: 43

Scrape: [Destilados y licores] Jugos colación
  productos únicos: 29

Scrape: [Destilados y licores] Cervezas
  productos únicos: 100

Scrape: [Destilados y licores] Cerveza nacional
  productos únicos: 41

Scrape: [Destilados y licores] Cerveza importada
  productos únicos: 45

Scrape: [Destilados y licores] Cerveza artesanal
  productos únicos: 64

Scrape: [Destilados y licores] Cerveza sin alcohol
  productos únicos: 16

Scrape: [Destilados y licores] Vinos y espumantes
  productos únicos: 100

Scrape: [Destilados y licores] Vino tinto
  productos únicos: 100

Scrape: [Destilados y licores] Vino blanco
  productos únicos: 72

Scrape: [Destilados y licores] Vino caja
  productos únicos: 28

Scrape: [Destilados y licores] Espumantes
  productos únicos: 65

Scrape: [Destilados y licores] Vinos botellón y otros
  productos únicos: 47

Scrape: [Destilados y licores] Vino Late harvest
  productos únicos: 11

Scrape: [Destilados y licores] Vino rosé
  productos únicos: 8

Scrape: [Destilados y licores] Destilados y licores
  productos únicos: 100

Scrape: [Destilados y licores] Cóctel
  productos únicos: 73

Scrape: [Destilados y licores] Piscos
  productos únicos: 65

Scrape: [Destilados y licores] Ron
  productos únicos: 19

Scrape: [Destilados y licores] Vodka
  productos únicos: 17

Scrape: [Destilados y licores] Gin
  productos únicos: 28

Scrape: [Destilados y licores] Whisky
  productos únicos: 49

Scrape: [Destilados y licores] Otros licores
  productos únicos: 41

Total filas: 1835
CSV generado: output\bebidas_licores\unimarc_bebidas-y-licores_subcats_20260224_022001.csv
