
Subcategorías detectadas en [Limpieza]: 216
 - Detergente | Detergente -> https://www.unimarc.cl/category/limpieza/detergente
  productos únicos: 62

Scrape: [Papeles] Bolsa basura
  productos únicos: 37

Scrape: [Papeles] Limpieza calzado y ropa
  productos únicos: 24

Scrape: [Papeles] Otros accesorios aseo
  productos únicos: 1

Scrape: [Baño y cocina] Detergente
  productos únicos: 100

Scrape: [Baño y cocina] Detergente líquido
  productos únicos: 36

Scrape: [Baño y cocina] Detergente polvo
  productos únicos: 20

Scrape: [Baño y cocina] Detergente en cápsulas
  productos únicos: 2

Scrape: [Baño y cocina] Detergente en barra
  productos únicos: 3

Scrape: [Baño y cocina] Tratamiento ropa
  productos únicos: 47

Scrape: [Baño y cocina] Suavizante
  productos únicos: 35

Scrape: [Baño y cocina] Papeles
  productos únicos: 81

Scrape: [Baño y cocina] Papel higiénico
  productos únicos: 25

Scrape: [Baño y cocina] Toalla papel
  productos únicos: 22

Scrape: [Baño y cocina] Servilletas
  productos únicos: 23

Scrape: [Baño y cocina] Pañuelos desechables
  productos únicos: 11

Scrape: [Baño y cocina] Baño y cocina
  productos únicos: 100

Scrape: [Baño y cocina] Lavalozas y lavavajillas
  productos únicos: 35

Scrape: [Baño y cocina] Limpiador crema
  productos únicos: 5

Scrape: [Baño y cocina] Limpiador antigrasa
  productos únicos: 18

Scrape: [Baño y cocina] Limpiador baño
  productos únicos: 42

Scrape: [Baño y cocina] Cloro
  productos únicos: 56

Scrape: [Baño y cocina] Paños, esponjas y guantes
  productos únicos: 49

Scrape: [Baño y cocina] Sopapos
  productos únicos: 3

Scrape: [Baño y cocina] Limpieza hogar
  productos únicos: 100

Scrape: [Baño y cocina] Aerosoles y desinfectantes
  productos únicos: 86

Scrape: [Baño y cocina] Limpiador vidrios y multiusos
  productos únicos: 29

Scrape: [Baño y cocina] Insecticidas
  productos únicos: 36

Scrape: [Baño y cocina] Velas y fósforos
  productos únicos: 17

Scrape: [Baño y cocina] Pisos y muebles
  productos únicos: 100

Scrape: [Baño y cocina] Limpiador pisos
  productos únicos: 43

Scrape: [Baño y cocina] Limpiador alfombra
  productos únicos: 1

Scrape: [Baño y cocina] Lustramuebles
  productos únicos: 13

Scrape: [Baño y cocina] Ceras
  productos únicos: 18

Scrape: [Baño y cocina] Paños, traperos, mopas y baldes
  productos únicos: 32

Scrape: [Baño y cocina] Escobas, palas, virutillas y plumeros
  productos únicos: 13

Scrape: [Baño y cocina] Accesorios aseo
  productos únicos: 62

Scrape: [Baño y cocina] Bolsa basura
  productos únicos: 37

Scrape: [Baño y cocina] Limpieza calzado y ropa
  productos únicos: 24

Scrape: [Baño y cocina] Otros accesorios aseo
  productos únicos: 1

Scrape: [Limpieza hogar] Detergente
  productos únicos: 100

Scrape: [Limpieza hogar] Detergente líquido
  productos únicos: 36

Scrape: [Limpieza hogar] Detergente polvo
  productos únicos: 20

Scrape: [Limpieza hogar] Detergente en cápsulas
  productos únicos: 2

Scrape: [Limpieza hogar] Detergente en barra
  productos únicos: 3

Scrape: [Limpieza hogar] Tratamiento ropa
  productos únicos: 47

Scrape: [Limpieza hogar] Suavizante
  productos únicos: 35

Scrape: [Limpieza hogar] Papeles
  productos únicos: 81

Scrape: [Limpieza hogar] Papel higiénico
  productos únicos: 25

Scrape: [Limpieza hogar] Toalla papel
  productos únicos: 22

Scrape: [Limpieza hogar] Servilletas
  productos únicos: 23

Scrape: [Limpieza hogar] Pañuelos desechables
  productos únicos: 11

Scrape: [Limpieza hogar] Baño y cocina
  productos únicos: 100

Scrape: [Limpieza hogar] Lavalozas y lavavajillas
  productos únicos: 35

Scrape: [Limpieza hogar] Limpiador crema
  productos únicos: 5

Scrape: [Limpieza hogar] Limpiador antigrasa
  productos únicos: 18

Scrape: [Limpieza hogar] Limpiador baño
  productos únicos: 42

Scrape: [Limpieza hogar] Cloro
  productos únicos: 56

Scrape: [Limpieza hogar] Paños, esponjas y guantes
  productos únicos: 49

Scrape: [Limpieza hogar] Sopapos
  productos únicos: 3

Scrape: [Limpieza hogar] Limpieza hogar
  productos únicos: 100

Scrape: [Limpieza hogar] Aerosoles y desinfectantes
  productos únicos: 86

Scrape: [Limpieza hogar] Limpiador vidrios y multiusos
  productos únicos: 29

Scrape: [Limpieza hogar] Insecticidas
  productos únicos: 36

Scrape: [Limpieza hogar] Velas y fósforos
  productos únicos: 17

Scrape: [Limpieza hogar] Pisos y muebles
  productos únicos: 100

Scrape: [Limpieza hogar] Limpiador pisos
  productos únicos: 43

Scrape: [Limpieza hogar] Limpiador alfombra
  productos únicos: 1

Scrape: [Limpieza hogar] Lustramuebles
  productos únicos: 13

Scrape: [Limpieza hogar] Ceras
  productos únicos: 18

Scrape: [Limpieza hogar] Paños, traperos, mopas y baldes
  productos únicos: 32

Scrape: [Limpieza hogar] Escobas, palas, virutillas y plumeros
  productos únicos: 13

Scrape: [Limpieza hogar] Accesorios aseo
  productos únicos: 62

Scrape: [Limpieza hogar] Bolsa basura
  productos únicos: 37

Scrape: [Limpieza hogar] Limpieza calzado y ropa
  productos únicos: 24

Scrape: [Limpieza hogar] Otros accesorios aseo
  productos únicos: 1

Scrape: [Pisos y muebles] Detergente
  productos únicos: 100

Scrape: [Pisos y muebles] Detergente líquido
  productos únicos: 36

Scrape: [Pisos y muebles] Detergente polvo
  productos únicos: 20

Scrape: [Pisos y muebles] Detergente en cápsulas
  productos únicos: 2

Scrape: [Pisos y muebles] Detergente en barra
  productos únicos: 3

Scrape: [Pisos y muebles] Tratamiento ropa
  productos únicos: 47

Scrape: [Pisos y muebles] Suavizante
  productos únicos: 35

Scrape: [Pisos y muebles] Papeles
  productos únicos: 81

Scrape: [Pisos y muebles] Papel higiénico
  productos únicos: 25

Scrape: [Pisos y muebles] Toalla papel
  productos únicos: 22

Scrape: [Pisos y muebles] Servilletas
  productos únicos: 23

Scrape: [Pisos y muebles] Pañuelos desechables
  productos únicos: 11

Scrape: [Pisos y muebles] Baño y cocina
  productos únicos: 100

Scrape: [Pisos y muebles] Lavalozas y lavavajillas
  productos únicos: 35

Scrape: [Pisos y muebles] Limpiador crema
  productos únicos: 5

Scrape: [Pisos y muebles] Limpiador antigrasa
  productos únicos: 18

Scrape: [Pisos y muebles] Limpiador baño
  productos únicos: 42

Scrape: [Pisos y muebles] Cloro
  productos únicos: 56

Scrape: [Pisos y muebles] Paños, esponjas y guantes
  productos únicos: 49

Scrape: [Pisos y muebles] Sopapos
  productos únicos: 3

Scrape: [Pisos y muebles] Limpieza hogar
  productos únicos: 100

Scrape: [Pisos y muebles] Aerosoles y desinfectantes
  productos únicos: 86

Scrape: [Pisos y muebles] Limpiador vidrios y multiusos
  productos únicos: 29

Scrape: [Pisos y muebles] Insecticidas
  productos únicos: 36

Scrape: [Pisos y muebles] Velas y fósforos
  productos únicos: 17

Scrape: [Pisos y muebles] Pisos y muebles
  productos únicos: 100

Scrape: [Pisos y muebles] Limpiador pisos
  productos únicos: 43

Scrape: [Pisos y muebles] Limpiador alfombra
  productos únicos: 1

Scrape: [Pisos y muebles] Lustramuebles
  productos únicos: 13

Scrape: [Pisos y muebles] Ceras
  productos únicos: 18

Scrape: [Pisos y muebles] Paños, traperos, mopas y baldes
  productos únicos: 32

Scrape: [Pisos y muebles] Escobas, palas, virutillas y plumeros
  productos únicos: 13

Scrape: [Pisos y muebles] Accesorios aseo
  productos únicos: 62

Scrape: [Pisos y muebles] Bolsa basura
  productos únicos: 37

Scrape: [Pisos y muebles] Limpieza calzado y ropa
  productos únicos: 24

Scrape: [Pisos y muebles] Otros accesorios aseo
  productos únicos: 1

Scrape: [Accesorios aseo] Detergente
  productos únicos: 100

Scrape: [Accesorios aseo] Detergente líquido
  productos únicos: 36

Scrape: [Accesorios aseo] Detergente polvo
  productos únicos: 20

Scrape: [Accesorios aseo] Detergente en cápsulas
  productos únicos: 2

Scrape: [Accesorios aseo] Detergente en barra
  productos únicos: 3

Scrape: [Accesorios aseo] Tratamiento ropa
  productos únicos: 47

Scrape: [Accesorios aseo] Suavizante
  productos únicos: 35

Scrape: [Accesorios aseo] Papeles
  productos únicos: 81

Scrape: [Accesorios aseo] Papel higiénico
  productos únicos: 25

Scrape: [Accesorios aseo] Toalla papel
  productos únicos: 22

Scrape: [Accesorios aseo] Servilletas
  productos únicos: 23

Scrape: [Accesorios aseo] Pañuelos desechables
  productos únicos: 11

Scrape: [Accesorios aseo] Baño y cocina
  productos únicos: 100

Scrape: [Accesorios aseo] Lavalozas y lavavajillas
  productos únicos: 35

Scrape: [Accesorios aseo] Limpiador crema
  productos únicos: 5

Scrape: [Accesorios aseo] Limpiador antigrasa
  productos únicos: 18

Scrape: [Accesorios aseo] Limpiador baño
  productos únicos: 42

Scrape: [Accesorios aseo] Cloro
  productos únicos: 56

Scrape: [Accesorios aseo] Paños, esponjas y guantes
  productos únicos: 49

Scrape: [Accesorios aseo] Sopapos
  productos únicos: 3

Scrape: [Accesorios aseo] Limpieza hogar
  productos únicos: 100

Scrape: [Accesorios aseo] Aerosoles y desinfectantes
  productos únicos: 86

Scrape: [Accesorios aseo] Limpiador vidrios y multiusos
  productos únicos: 29

Scrape: [Accesorios aseo] Insecticidas
  productos únicos: 36

Scrape: [Accesorios aseo] Velas y fósforos
  productos únicos: 17

Scrape: [Accesorios aseo] Pisos y muebles
  productos únicos: 100

Scrape: [Accesorios aseo] Limpiador pisos
  productos únicos: 43

Scrape: [Accesorios aseo] Limpiador alfombra
  productos únicos: 1

Scrape: [Accesorios aseo] Lustramuebles
  productos únicos: 13

Scrape: [Accesorios aseo] Ceras
  productos únicos: 18

Scrape: [Accesorios aseo] Paños, traperos, mopas y baldes
  productos únicos: 32

Scrape: [Accesorios aseo] Escobas, palas, virutillas y plumeros
  productos únicos: 13

Scrape: [Accesorios aseo] Accesorios aseo
  productos únicos: 62

Scrape: [Accesorios aseo] Bolsa basura
  productos únicos: 37

Scrape: [Accesorios aseo] Limpieza calzado y ropa
  productos únicos: 24

Scrape: [Accesorios aseo] Otros accesorios aseo
  productos únicos: 1

Total filas: 1325
CSV generado: output\limpieza\unimarc_limpieza_subcats_20260223_153238.csv
