
Subcategorías detectadas en [Hogar]: 259
 - Aire libre | Aire libre -> https://www.unimarc.cl/category/hogar/aire-libre
 - Electrohogar | Dormitorio -> https://www.unimarc.cl/category/hogar/textil-hogar/dormitorio
 - Electrohogar | Textil cocina -> https://www.unimarc.cl/category/hogar/textil-hogar/textil-cocina
 - Electrohogar | Textil baño -> https://www.unimarc.cl/category/hogar/textil-hogar/textil-bano
 - Electrohogar | Electrohogar -> https://www.unimarc.cl/category/hogar/electrohogar
 - Electrohogar | Electrodomésticos -> https://www.unimarc.cl/category/hogar/electrohogar/electrodomesticos
 - Electrohogar | Electrónica -> https://www.unimarc.cl/category/hogar/electrohogar/electronica
 - Electrohogar | Cuidado personal -> https://www.unimarc.cl/category/hogar/electrohogar/cuidado-personal

Scrape: [Aire libre] Aire libre
  productos únicos: 50

Scrape: [Aire libre] Otros accesorios
  productos únicos: 16

Scrape: [Aire libre] Carbón y parrilla
  productos únicos: 26

Scrape: [Aire libre] Juegos y deportes
  productos únicos: 10

Scrape: [Aire libre] Piscina
  productos únicos: 34

Scrape: [Aire libre] Librería, celebraciones y juguetes
  productos únicos: 100

Scrape: [Aire libre] Diarios y revistas
  productos únicos: 0

Scrape: [Aire libre] Librería
  productos únicos: 100

Scrape: [Aire libre] Celebraciones
  productos únicos: 100

Scrape: [Aire libre] Juegos y juguetes
  productos únicos: 100

Scrape: [Aire libre] Cocina y mesa
  productos únicos: 100

Scrape: [Aire libre] Papeles cocina y bolsas multiuso
  productos únicos: 52

Scrape: [Aire libre] Cristalería
  productos únicos: 38

Scrape: [Aire libre] Herméticos, termos y botellas
  productos únicos: 62

Scrape: [Aire libre] Ollas, sartenes y accesorios cocción
  productos únicos: 50

Scrape: [Aire libre] Utensilios cocina y repostería
  productos únicos: 83

Scrape: [Aire libre] Complementos mesa
  productos únicos: 30

Scrape: [Aire libre] Loza y tazones
  productos únicos: 51

Scrape: [Aire libre] Ferretería y automotriz
  productos únicos: 89

Scrape: [Aire libre] Pilas
  productos únicos: 6

Scrape: [Aire libre] Iluminación y enchufes
  productos únicos: 25

Scrape: [Aire libre] Herramientas y adhesivos
  productos únicos: 29

Scrape: [Aire libre] Automotriz
  productos únicos: 29

Scrape: [Aire libre] Hogar
  productos únicos: 61

Scrape: [Aire libre] Organización
  productos únicos: 41

Scrape: [Aire libre] Planchado y secado
  productos únicos: 9

Scrape: [Aire libre] Decoración
  productos únicos: 11

Scrape: [Aire libre] Calefacción y ventilación
  productos únicos: 0

Scrape: [Aire libre] Textil hogar
  productos únicos: 100

Scrape: [Aire libre] Calzado y vestuario
  productos únicos: 100

Scrape: [Aire libre] Dormitorio
  productos únicos: 5

Scrape: [Aire libre] Textil cocina
  productos únicos: 4

Scrape: [Aire libre] Textil baño
  productos únicos: 19

Scrape: [Aire libre] Electrohogar
  productos únicos: 13

Scrape: [Aire libre] Electrodomésticos
  productos únicos: 12

Scrape: [Aire libre] Electrónica
  productos únicos: 1

Scrape: [Aire libre] Cuidado personal
  productos únicos: 0

Scrape: [Librería, celebraciones y juguetes] Aire libre
  productos únicos: 86

Scrape: [Librería, celebraciones y juguetes] Otros accesorios
  productos únicos: 16

Scrape: [Librería, celebraciones y juguetes] Carbón y parrilla
  productos únicos: 26

Scrape: [Librería, celebraciones y juguetes] Juegos y deportes
  productos únicos: 10

Scrape: [Librería, celebraciones y juguetes] Piscina
  productos únicos: 34

Scrape: [Librería, celebraciones y juguetes] Librería, celebraciones y juguetes
  productos únicos: 100

Scrape: [Librería, celebraciones y juguetes] Diarios y revistas
  productos únicos: 0

Scrape: [Librería, celebraciones y juguetes] Librería
  productos únicos: 100

Scrape: [Librería, celebraciones y juguetes] Celebraciones
  productos únicos: 100

Scrape: [Librería, celebraciones y juguetes] Juegos y juguetes
  productos únicos: 100

Scrape: [Librería, celebraciones y juguetes] Cocina y mesa
  productos únicos: 100

Scrape: [Librería, celebraciones y juguetes] Papeles cocina y bolsas multiuso
  productos únicos: 52

Scrape: [Librería, celebraciones y juguetes] Cristalería
  productos únicos: 38

Scrape: [Librería, celebraciones y juguetes] Herméticos, termos y botellas
  productos únicos: 62

Scrape: [Librería, celebraciones y juguetes] Ollas, sartenes y accesorios cocción
  productos únicos: 50

Scrape: [Librería, celebraciones y juguetes] Utensilios cocina y repostería
  productos únicos: 83

Scrape: [Librería, celebraciones y juguetes] Complementos mesa
  productos únicos: 30

Scrape: [Librería, celebraciones y juguetes] Loza y tazones
  productos únicos: 51

Scrape: [Librería, celebraciones y juguetes] Ferretería y automotriz
  productos únicos: 89

Scrape: [Librería, celebraciones y juguetes] Pilas
  productos únicos: 6

Scrape: [Librería, celebraciones y juguetes] Iluminación y enchufes
  productos únicos: 25

Scrape: [Librería, celebraciones y juguetes] Herramientas y adhesivos
  productos únicos: 29

Scrape: [Librería, celebraciones y juguetes] Automotriz
  productos únicos: 29

Scrape: [Librería, celebraciones y juguetes] Hogar
  productos únicos: 61

Scrape: [Librería, celebraciones y juguetes] Organización
  productos únicos: 41

Scrape: [Librería, celebraciones y juguetes] Planchado y secado
  productos únicos: 9

Scrape: [Librería, celebraciones y juguetes] Decoración
  productos únicos: 11

Scrape: [Librería, celebraciones y juguetes] Calefacción y ventilación
  productos únicos: 0

Scrape: [Librería, celebraciones y juguetes] Textil hogar
  productos únicos: 100

Scrape: [Librería, celebraciones y juguetes] Calzado y vestuario
  productos únicos: 100

Scrape: [Librería, celebraciones y juguetes] Dormitorio
  productos únicos: 5

Scrape: [Librería, celebraciones y juguetes] Textil cocina
  productos únicos: 4

Scrape: [Librería, celebraciones y juguetes] Textil baño
  productos únicos: 19

Scrape: [Librería, celebraciones y juguetes] Electrohogar
  productos únicos: 13

Scrape: [Librería, celebraciones y juguetes] Electrodomésticos
  productos únicos: 12

Scrape: [Librería, celebraciones y juguetes] Electrónica
  productos únicos: 1

Scrape: [Librería, celebraciones y juguetes] Cuidado personal
  productos únicos: 0

Scrape: [Cocina y mesa] Aire libre
  productos únicos: 86

Scrape: [Cocina y mesa] Otros accesorios
  productos únicos: 16

Scrape: [Cocina y mesa] Carbón y parrilla
  productos únicos: 26

Scrape: [Cocina y mesa] Juegos y deportes
  productos únicos: 10

Scrape: [Cocina y mesa] Piscina
  productos únicos: 34

Scrape: [Cocina y mesa] Librería, celebraciones y juguetes
  productos únicos: 100

Scrape: [Cocina y mesa] Diarios y revistas
  productos únicos: 0

Scrape: [Cocina y mesa] Librería
  productos únicos: 100

Scrape: [Cocina y mesa] Celebraciones
  productos únicos: 100

Scrape: [Cocina y mesa] Juegos y juguetes
  productos únicos: 100

Scrape: [Cocina y mesa] Cocina y mesa
  productos únicos: 100

Scrape: [Cocina y mesa] Papeles cocina y bolsas multiuso
  productos únicos: 52

Scrape: [Cocina y mesa] Cristalería
  productos únicos: 38

Scrape: [Cocina y mesa] Herméticos, termos y botellas
  productos únicos: 62

Scrape: [Cocina y mesa] Ollas, sartenes y accesorios cocción
  productos únicos: 50

Scrape: [Cocina y mesa] Utensilios cocina y repostería
  productos únicos: 83

Scrape: [Cocina y mesa] Complementos mesa
  productos únicos: 30

Scrape: [Cocina y mesa] Loza y tazones
  productos únicos: 51

Scrape: [Cocina y mesa] Ferretería y automotriz
  productos únicos: 89

Scrape: [Cocina y mesa] Pilas
  productos únicos: 6

Scrape: [Cocina y mesa] Iluminación y enchufes
  productos únicos: 25

Scrape: [Cocina y mesa] Herramientas y adhesivos
  productos únicos: 29

Scrape: [Cocina y mesa] Automotriz
  productos únicos: 29

Scrape: [Cocina y mesa] Hogar
  productos únicos: 61

Scrape: [Cocina y mesa] Organización
  productos únicos: 41

Scrape: [Cocina y mesa] Planchado y secado
  productos únicos: 9

Scrape: [Cocina y mesa] Decoración
  productos únicos: 11

Scrape: [Cocina y mesa] Calefacción y ventilación
  productos únicos: 0

Scrape: [Cocina y mesa] Textil hogar
  productos únicos: 100

Scrape: [Cocina y mesa] Calzado y vestuario
  productos únicos: 100

Scrape: [Cocina y mesa] Dormitorio
  productos únicos: 5

Scrape: [Cocina y mesa] Textil cocina
  productos únicos: 4

Scrape: [Cocina y mesa] Textil baño
  productos únicos: 19

Scrape: [Cocina y mesa] Electrohogar
  productos únicos: 13

Scrape: [Cocina y mesa] Electrodomésticos
  productos únicos: 12

Scrape: [Cocina y mesa] Electrónica
  productos únicos: 1

Scrape: [Cocina y mesa] Cuidado personal
  productos únicos: 0

Scrape: [Ferretería y automotriz] Aire libre
  productos únicos: 86

Scrape: [Ferretería y automotriz] Otros accesorios
  productos únicos: 16

Scrape: [Ferretería y automotriz] Carbón y parrilla
  productos únicos: 26

Scrape: [Ferretería y automotriz] Juegos y deportes
  productos únicos: 10

Scrape: [Ferretería y automotriz] Piscina
  productos únicos: 34

Scrape: [Ferretería y automotriz] Librería, celebraciones y juguetes
  productos únicos: 100

Scrape: [Ferretería y automotriz] Diarios y revistas
  productos únicos: 0

Scrape: [Ferretería y automotriz] Librería
  productos únicos: 100

Scrape: [Ferretería y automotriz] Celebraciones
  productos únicos: 100

Scrape: [Ferretería y automotriz] Juegos y juguetes
  productos únicos: 100

Scrape: [Ferretería y automotriz] Cocina y mesa
  productos únicos: 100

Scrape: [Ferretería y automotriz] Papeles cocina y bolsas multiuso
  productos únicos: 52

Scrape: [Ferretería y automotriz] Cristalería
  productos únicos: 38

Scrape: [Ferretería y automotriz] Herméticos, termos y botellas
  productos únicos: 62

Scrape: [Ferretería y automotriz] Ollas, sartenes y accesorios cocción
  productos únicos: 50

Scrape: [Ferretería y automotriz] Utensilios cocina y repostería
  productos únicos: 83

Scrape: [Ferretería y automotriz] Complementos mesa
  productos únicos: 30

Scrape: [Ferretería y automotriz] Loza y tazones
  productos únicos: 51

Scrape: [Ferretería y automotriz] Ferretería y automotriz
  productos únicos: 89

Scrape: [Ferretería y automotriz] Pilas
  productos únicos: 6

Scrape: [Ferretería y automotriz] Iluminación y enchufes
  productos únicos: 25

Scrape: [Ferretería y automotriz] Herramientas y adhesivos
  productos únicos: 29

Scrape: [Ferretería y automotriz] Automotriz
  productos únicos: 29

Scrape: [Ferretería y automotriz] Hogar
  productos únicos: 61

Scrape: [Ferretería y automotriz] Organización
  productos únicos: 41

Scrape: [Ferretería y automotriz] Planchado y secado
  productos únicos: 9

Scrape: [Ferretería y automotriz] Decoración
  productos únicos: 11

Scrape: [Ferretería y automotriz] Calefacción y ventilación
  productos únicos: 0

Scrape: [Ferretería y automotriz] Textil hogar
  productos únicos: 100

Scrape: [Ferretería y automotriz] Calzado y vestuario
  productos únicos: 100

Scrape: [Ferretería y automotriz] Dormitorio
  productos únicos: 5

Scrape: [Ferretería y automotriz] Textil cocina
  productos únicos: 4

Scrape: [Ferretería y automotriz] Textil baño
  productos únicos: 19

Scrape: [Ferretería y automotriz] Electrohogar
  productos únicos: 13

Scrape: [Ferretería y automotriz] Electrodomésticos
  productos únicos: 12

Scrape: [Ferretería y automotriz] Electrónica
  productos únicos: 1

Scrape: [Ferretería y automotriz] Cuidado personal
  productos únicos: 0

Scrape: [Hogar] Aire libre
  productos únicos: 86

Scrape: [Hogar] Otros accesorios
  productos únicos: 16

Scrape: [Hogar] Carbón y parrilla
  productos únicos: 26

Scrape: [Hogar] Juegos y deportes
  productos únicos: 10

Scrape: [Hogar] Piscina
  productos únicos: 34

Scrape: [Hogar] Librería, celebraciones y juguetes
  productos únicos: 100

Scrape: [Hogar] Diarios y revistas
  productos únicos: 0

Scrape: [Hogar] Librería
  productos únicos: 100

Scrape: [Hogar] Celebraciones
  productos únicos: 100

Scrape: [Hogar] Juegos y juguetes
  productos únicos: 100

Scrape: [Hogar] Cocina y mesa
  productos únicos: 100

Scrape: [Hogar] Papeles cocina y bolsas multiuso
  productos únicos: 52

Scrape: [Hogar] Cristalería
  productos únicos: 38

Scrape: [Hogar] Herméticos, termos y botellas
  productos únicos: 62

Scrape: [Hogar] Ollas, sartenes y accesorios cocción
  productos únicos: 50

Scrape: [Hogar] Utensilios cocina y repostería
  productos únicos: 83

Scrape: [Hogar] Complementos mesa
  productos únicos: 30

Scrape: [Hogar] Loza y tazones
  productos únicos: 51

Scrape: [Hogar] Ferretería y automotriz
  productos únicos: 89

Scrape: [Hogar] Pilas
  productos únicos: 6

Scrape: [Hogar] Iluminación y enchufes
  productos únicos: 25

Scrape: [Hogar] Herramientas y adhesivos
  productos únicos: 29

Scrape: [Hogar] Automotriz
  productos únicos: 29

Scrape: [Hogar] Hogar
  productos únicos: 61

Scrape: [Hogar] Organización
  productos únicos: 41

Scrape: [Hogar] Planchado y secado
  productos únicos: 9

Scrape: [Hogar] Decoración
  productos únicos: 11

Scrape: [Hogar] Calefacción y ventilación
  productos únicos: 0

Scrape: [Hogar] Textil hogar
  productos únicos: 100

Scrape: [Hogar] Calzado y vestuario
  productos únicos: 100

Scrape: [Hogar] Dormitorio
  productos únicos: 5

Scrape: [Hogar] Textil cocina
  productos únicos: 4

Scrape: [Hogar] Textil baño
  productos únicos: 19

Scrape: [Hogar] Electrohogar
  productos únicos: 13

Scrape: [Hogar] Electrodomésticos
  productos únicos: 12

Scrape: [Hogar] Electrónica
  productos únicos: 1

Scrape: [Hogar] Cuidado personal
  productos únicos: 0

Scrape: [Textil hogar] Aire libre
  productos únicos: 86

Scrape: [Textil hogar] Otros accesorios
  productos únicos: 16

Scrape: [Textil hogar] Carbón y parrilla
  productos únicos: 26

Scrape: [Textil hogar] Juegos y deportes
  productos únicos: 10

Scrape: [Textil hogar] Piscina
  productos únicos: 34

Scrape: [Textil hogar] Librería, celebraciones y juguetes
  productos únicos: 100

Scrape: [Textil hogar] Diarios y revistas
  productos únicos: 0

Scrape: [Textil hogar] Librería
  productos únicos: 100

Scrape: [Textil hogar] Celebraciones
  productos únicos: 100

Scrape: [Textil hogar] Juegos y juguetes
  productos únicos: 100

Scrape: [Textil hogar] Cocina y mesa
  productos únicos: 100

Scrape: [Textil hogar] Papeles cocina y bolsas multiuso
  productos únicos: 52

Scrape: [Textil hogar] Cristalería
  productos únicos: 38

Scrape: [Textil hogar] Herméticos, termos y botellas
  productos únicos: 62

Scrape: [Textil hogar] Ollas, sartenes y accesorios cocción
  productos únicos: 50

Scrape: [Textil hogar] Utensilios cocina y repostería
  productos únicos: 83

Scrape: [Textil hogar] Complementos mesa
  productos únicos: 30

Scrape: [Textil hogar] Loza y tazones
  productos únicos: 51

Scrape: [Textil hogar] Ferretería y automotriz
  productos únicos: 89

Scrape: [Textil hogar] Pilas
  productos únicos: 6

Scrape: [Textil hogar] Iluminación y enchufes
  productos únicos: 25

Scrape: [Textil hogar] Herramientas y adhesivos
  productos únicos: 29

Scrape: [Textil hogar] Automotriz
  productos únicos: 29

Scrape: [Textil hogar] Hogar
  productos únicos: 61

Scrape: [Textil hogar] Organización
  productos únicos: 41

Scrape: [Textil hogar] Planchado y secado
  productos únicos: 9

Scrape: [Textil hogar] Decoración
  productos únicos: 11

Scrape: [Textil hogar] Calefacción y ventilación
  productos únicos: 0

Scrape: [Textil hogar] Textil hogar
  productos únicos: 100

Scrape: [Textil hogar] Calzado y vestuario
  productos únicos: 100

Scrape: [Textil hogar] Dormitorio
  productos únicos: 5

Scrape: [Textil hogar] Textil cocina
  productos únicos: 4

Scrape: [Textil hogar] Textil baño
  productos únicos: 19

Scrape: [Textil hogar] Electrohogar
  productos únicos: 13

Scrape: [Textil hogar] Electrodomésticos
  productos únicos: 12

Scrape: [Textil hogar] Electrónica
  productos únicos: 1

Scrape: [Textil hogar] Cuidado personal
  productos únicos: 0

Scrape: [Electrohogar] Aire libre
  productos únicos: 86

Scrape: [Electrohogar] Otros accesorios
  productos únicos: 16

Scrape: [Electrohogar] Carbón y parrilla
  productos únicos: 26

Scrape: [Electrohogar] Juegos y deportes
  productos únicos: 10

Scrape: [Electrohogar] Piscina
  productos únicos: 34

Scrape: [Electrohogar] Librería, celebraciones y juguetes
  productos únicos: 100

Scrape: [Electrohogar] Diarios y revistas
  productos únicos: 0

Scrape: [Electrohogar] Librería
  productos únicos: 100

Scrape: [Electrohogar] Celebraciones
  productos únicos: 100

Scrape: [Electrohogar] Juegos y juguetes
  productos únicos: 100

Scrape: [Electrohogar] Cocina y mesa
  productos únicos: 100

Scrape: [Electrohogar] Papeles cocina y bolsas multiuso
  productos únicos: 52

Scrape: [Electrohogar] Cristalería
  productos únicos: 38

Scrape: [Electrohogar] Herméticos, termos y botellas
  productos únicos: 62

Scrape: [Electrohogar] Ollas, sartenes y accesorios cocción
  productos únicos: 50

Scrape: [Electrohogar] Utensilios cocina y repostería
  productos únicos: 83

Scrape: [Electrohogar] Complementos mesa
  productos únicos: 30

Scrape: [Electrohogar] Loza y tazones
  productos únicos: 51

Scrape: [Electrohogar] Ferretería y automotriz
  productos únicos: 89

Scrape: [Electrohogar] Pilas
  productos únicos: 6

Scrape: [Electrohogar] Iluminación y enchufes
  productos únicos: 25

Scrape: [Electrohogar] Herramientas y adhesivos
  productos únicos: 29

Scrape: [Electrohogar] Automotriz
  productos únicos: 29

Scrape: [Electrohogar] Hogar
  productos únicos: 61

Scrape: [Electrohogar] Organización
  productos únicos: 41

Scrape: [Electrohogar] Planchado y secado
  productos únicos: 9

Scrape: [Electrohogar] Decoración
  productos únicos: 11

Scrape: [Electrohogar] Calefacción y ventilación
  productos únicos: 0

Scrape: [Electrohogar] Textil hogar
  productos únicos: 100

Scrape: [Electrohogar] Calzado y vestuario
  productos únicos: 100

Scrape: [Electrohogar] Dormitorio
  productos únicos: 5

Scrape: [Electrohogar] Textil cocina
  productos únicos: 4

Scrape: [Electrohogar] Textil baño
  productos únicos: 19

Scrape: [Electrohogar] Electrohogar
  productos únicos: 13

Scrape: [Electrohogar] Electrodomésticos
  productos únicos: 12

Scrape: [Electrohogar] Electrónica
  productos únicos: 1

Scrape: [Electrohogar] Cuidado personal
  productos únicos: 0

Total filas: 1593
CSV generado: output\hogar\unimarc_hogar_subcats_20260223_142846.csv
